path,uncompressed_bytes,compressed_bytes,zip_method
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/01. Access Control Temperature Monitoring Solution（SMB Solution）/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/01. Access Control Temperature Monitoring Solution（SMB Solution）/DH3.RDS000076 SMB Access Control Temperature Monitoring Solution_V1.0_Acceptance Criteria.pdf,71700,59131,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/01. Access Control Temperature Monitoring Solution（SMB Solution）/DH3.RDS000076 SMB Access Control Temperature Monitoring Solution_V1.0_Function List.xlsx,13906,10542,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/01. Access Control Temperature Monitoring Solution（SMB Solution）/DH3.RDS000076 SMB Access Control Temperature Monitoring Solution V1.0_Device List.xlsx,4411451,4300793,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/01. Access Control Temperature Monitoring Solution（SMB Solution）/DH3.RDS000076 SMB Access Control Temperature Monitoring Solution_V1.0_Acceptance Criteria.docx,63624,57183,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/02. Related to Express/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/02. Related to Express/Operation guide.docx,10432181,9873525,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/03. Related to VTH/,0,0,0
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/03. Related to VTH/Demo videos.rar,16163603,16166019,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/03. Related to VTH/Configuration guide.docx,346778,290088,8
Access Control & Time Attendance/01.Basic Information05. Solution/Temperature Monitoring Solutions/03. Related to VTH/How to upgrade Android VTH_VTH安卓机如何升级.docx,70389,65098,8
Access Control & Time Attendance/01.Basic Information06. Naming Rule/,0,0,0
Access Control & Time Attendance/01.Basic Information06. Naming Rule/Product Naming Rule- Access Control-20230309.pptx,112128,81373,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/,0,0,0
"Access Control & Time Attendance/03.Competition02.Competition With Hik/Competitive Analysis of ASI3A(HIK, ZKT)_20220805.xlsx",901632,860482,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/CompetitiveProduct-HIKVISION-2022.10.xlsx,16136,13027,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/Competitive Analysis of ASI6S（HIK K1T342)_20221227.xlsx,500682,482245,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/CompetitiveProduct-HIKVISION-2023.12.xlsx,49251,37681,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/ASI3E & Hik K1T321 320 Competition .xlsx,947712,911283,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/CompetitiveProduct-HIKVISION-(with product image）-2024.10.31.xlsx,9770496,9686812,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/CompetitiveProduct-HIKVISION-(with product image）-2025.7.4.xlsx,9770496,9686812,8
Access Control & Time Attendance/03.Competition02.Competition With Hik/CompetitiveProduct-HIKVISION-(with product image）-2026.5.6.xlsx,9770496,9686812,8
Access Control & Time Attendance/03.Competition03.Competition With ZKTeco/,0,0,0
Access Control & Time Attendance/03.Competition03.Competition With ZKTeco/ASA1222E-S competition analysis.pptx,2411221,2238460,8
Access Control & Time Attendance/03.Competition03.Competition With ZKTeco/ASC3202B-VS ZKT Altas-2023.6.xlsx,2047770,2032252,8
Access Control & Time Attendance/03.Competition03.Competition With ZKTeco/SmartPSS VS ZKTime Net 3.3.1.3  Function Comparison List 20240508.xlsx,7951872,7816162,8
Access Control & Time Attendance/03.Competition03.Competition With ZKTeco/CompetitiveProduct-ZKTeco-(with product image）-2026.1.14.xlsx,7951872,7816162,8
Access Control & Time Attendance/03.Competition04.Competitive products comparison videos/,0,0,0
Access Control & Time Attendance/03.Competition04.Competitive products comparison videos/Competitive products comparison(HD).mp4,142781420,135951368,8
Access Control & Time Attendance/03.Competition04.Competitive products comparison videos/Competitive products comparison.mp4,26077027,25103030,8
