part_no,internal_model,external_model
1.0.01.04.47643-9001,DH-IPC-HFW7459Z1P-Z-PV-0880-X-ATC,DH-IPC-HFW7459Z1-Z10-PV-X-ATC
1.0.01.04.47273-9001,DH-IPC-HDBW7459ZP-Z-PV-2712-X,DH-IPC-HDBW7459Z-Z-PV-X
1.0.01.04.47463-9001,DH-IPC-HDBW7459ZP-Z-PV-2712-X-Black,DH-IPC-HDBW7459Z-Z-PV-X-Black
1.0.01.04.47274-9001,DH-IPC-HDBW7459ZP-Z-PV-0832-X,DH-IPC-HDBW7459Z-Z4-PV-X
1.0.01.04.47464-9001,DH-IPC-HDBW7459ZP-Z-PV-0832-X-Black,DH-IPC-HDBW7459Z-Z4-PV-X-Black
1.0.01.04.48194-9001,DH-IPC-HDBW7459ZP-Z-PV-2712-X-ATC,DH-IPC-HDBW7459Z-Z-PV-X-ATC
1.0.01.04.48195-9001,DH-IPC-HDBW7459ZP-Z-PV-0832-X-ATC,DH-IPC-HDBW7459Z-Z4-PV-X-ATC
1.0.01.04.47284-9001,DH-IPC-HFW7859Z1P-Z-PV-2712-X,DH-IPC-HFW7859Z1-Z-PV-X
1.0.01.04.47472-9001,DH-IPC-HFW7859Z1P-Z-PV-2712-X-Black,DH-IPC-HFW7859Z1-Z-PV-X-Black
1.0.01.04.47285-9001,DH-IPC-HFW7859Z1P-Z-PV-0832-X,DH-IPC-HFW7859Z1-Z4-PV-X
1.0.01.04.47473-9001,DH-IPC-HFW7859Z1P-Z-PV-0832-X-Black,DH-IPC-HFW7859Z1-Z4-PV-X-Black
1.0.01.04.47286-9001,DH-IPC-HFW7859Z1P-Z-PV-0856-X,DH-IPC-HFW7859Z1-Z7-PV-X
1.0.01.04.47474-9001,DH-IPC-HFW7859Z1P-Z-PV-0856-X-Black,DH-IPC-HFW7859Z1-Z7-PV-X-Black
1.0.01.04.47644-9002,DH-IPC-HFW7859Z1P-Z-PV-2712-X-ATC,DH-IPC-HFW7859Z1-Z-PV-X-ATC
1.0.01.04.47645-9001,DH-IPC-HFW7859Z1P-Z-PV-0832-X-ATC,DH-IPC-HFW7859Z1-Z4-PV-X-ATC
1.0.01.04.47646-9002,DH-IPC-HFW7859Z1P-Z-PV-0856-X-ATC,DH-IPC-HFW7859Z1-Z7-PV-X-ATC
1.0.01.04.47275-9001,DH-IPC-HDBW7859ZP-Z-PV-2712-X,DH-IPC-HDBW7859Z-Z-PV-X
1.0.01.04.47465-9001,DH-IPC-HDBW7859ZP-Z-PV-2712-X-Black,DH-IPC-HDBW7859Z-Z-PV-X-Black
1.0.01.04.47276-9001,DH-IPC-HDBW7859ZP-Z-PV-0832-X,DH-IPC-HDBW7859Z-Z4-PV-X
1.0.01.04.47466-9001,DH-IPC-HDBW7859ZP-Z-PV-0832-X-Black,DH-IPC-HDBW7859Z-Z4-PV-X-Black
1.0.01.04.48196-9001,DH-IPC-HDBW7859ZP-Z-PV-2712-X-ATC,DH-IPC-HDBW7859Z-Z-PV-X-ATC
1.0.01.04.48197-9001,DH-IPC-HDBW7859ZP-Z-PV-0832-X-ATC,DH-IPC-HDBW7859Z-Z4-PV-X-ATC
1.0.01.04.40692-9001,DH-IPC-HFW7442HP-Z-2712F-DC12AC24V-X,DH-IPC-HFW7442H-Z-X
1.0.01.04.40692,DH-IPC-HFW7442HP-Z-2712F-DC12AC24V-X,DH-IPC-HFW7442H-Z-X
1.0.01.04.41015-9001,DH-IPC-HFW7442HP-Z-2712F-DC12AC24V-ATC-X,DH-IPC-HFW7442H-Z-X
1.0.01.04.40693-9001,DH-IPC-HFW7442HP-Z-0832-DC12AC24V-X,DH-IPC-HFW7442H-Z4-X
1.0.01.04.40693,DH-IPC-HFW7442HP-Z-0832-DC12AC24V-X,DH-IPC-HFW7442H-Z4-X
1.0.01.04.41016-9001,DH-IPC-HFW7442HP-Z-0832-DC12AC24V-ATC-X,DH-IPC-HFW7442H-Z4-X
1.0.01.04.40908-9001,DH-IPC-HDBW7442E1P-Z-2712F-DC12AC24V-X,DH-IPC-HDBW7442E1-Z-X
1.0.01.04.41205-9001,DH-IPC-HDBW7442E1P-Z-2712F-DC12AC24V-ATC-X,DH-IPC-HDBW7442E1-Z-X
1.0.01.04.40910-9001,DH-IPC-HDBW7442E1P-Z-0832-DC12AC24V-X,DH-IPC-HDBW7442E1-Z4-X
1.0.01.04.41206-9001,DH-IPC-HDBW7442E1P-Z-0832-DC12AC24V-ATC-X,DH-IPC-HDBW7442E1-Z4-X
1.0.01.04.45658-9001,DH-IPC-HFW7442HP-Z-2712F-DC12AC24V-X-Black,DH-IPC-HFW7442H-Z-X-Black
1.0.01.04.45659-9001,DH-IPC-HFW7442HP-Z-0832-DC12AC24V-X-Black,DH-IPC-HFW7442H-Z4-X-Black
1.0.01.04.45663-9001,DH-IPC-HDBW7442E1P-Z-2712F-DC12AC24V-X-Black,DH-IPC-HDBW7442E1-Z-X-Black
1.0.01.04.45664-9001,DH-IPC-HDBW7442E1P-Z-0832-DC12AC24V-X-Black,DH-IPC-HDBW7442E1-Z4-X-Black
1.0.01.04.40694-9001,DH-IPC-HFW7842HP-Z-2712F-DC12AC24V-X,DH-IPC-HFW7842H-Z-X
1.0.01.04.41017-9001,DH-IPC-HFW7842HP-Z-2712F-DC12AC24V-ATC-X,DH-IPC-HFW7842H-Z-X
1.0.01.04.40695-9001,DH-IPC-HFW7842HP-Z-0832-DC12AC24V-X,DH-IPC-HFW7842H-Z4-X
1.0.01.04.41018-9001,DH-IPC-HFW7842HP-Z-0832-DC12AC24V-ATC-X,DH-IPC-HFW7842H-Z4-X
1.0.01.04.40912-9001,DH-IPC-HDBW7842E1P-Z-2712F-DC12AC24V-X,DH-IPC-HDBW7842E1-Z-X
1.0.01.04.41208-9001,DH-IPC-HDBW7842E1P-Z-2712F-DC12AC24V-ATC-X,DH-IPC-HDBW7842E1-Z-X
1.0.01.04.40914-9001,DH-IPC-HDBW7842E1P-Z-0832-DC12AC24V-X,DH-IPC-HDBW7842E1-Z4-X
1.0.01.04.41210-9001,DH-IPC-HDBW7842E1P-Z-0832-DC12AC24V-ATC-X,DH-IPC-HDBW7842E1-Z4-X
1.0.01.04.45660-9001,DH-IPC-HFW7842HP-Z-2712F-DC12AC24V-X-Black,DH-IPC-HFW7842H-Z-X-Black
1.0.01.04.45661-9001,DH-IPC-HFW7842HP-Z-0832-DC12AC24V-X-Black,DH-IPC-HFW7842H-Z4-X-Black
1.0.01.04.45665-9001,DH-IPC-HDBW7842E1P-Z-2712F-DC12AC24V-X-Black,DH-IPC-HDBW7842E1-Z-X-Black
1.0.01.04.45666-9001,DH-IPC-HDBW7842E1P-Z-0832-DC12AC24V-X-Black,DH-IPC-HDBW7842E1-Z4-X-Black
1.0.01.04.40696-9001,DH-IPC-HFW71242HP-Z-2712-DC12AC24V-X,DH-IPC-HFW71242H-Z-X
1.0.01.04.41019-9001,DH-IPC-HFW71242HP-Z-2712-DC12AC24V-ATC-X,DH-IPC-HFW71242H-Z-X
1.0.01.04.40916-9001,DH-IPC-HDBW71242E1P-Z-2712-DC12AC24V-X,DH-IPC-HDBW71242E1-Z-X
1.0.01.04.41212-9001,DH-IPC-HDBW71242E1P-Z-2712F-DC12AC24V-ATC-X,DH-IPC-HDBW71242E1-Z-X
1.0.01.04.45662-9001,DH-IPC-HFW71242HP-Z-2712-DC12AC24V-X-Black,DH-IPC-HFW71242H-Z-X-Black
1.0.01.04.45667-9001,DH-IPC-HDBW71242E1P-Z-2712-DC12AC24V-X-Black,DH-IPC-HDBW71242E1-Z-X-Black
1.0.01.04.40840-9001,DH-IPC-HF7442FP-Z-X,DH-IPC-HF7442F-Z-X
1.0.01.04.40842-9001,DH-IPC-HF7842FP-Z-X,DH-IPC-HF7842F-Z-X
1.0.01.04.40844-9001,DH-IPC-HF71242FP-Z-X,DH-IPC-HF71242F-Z-X
1.0.01.04.49313,DH-IPC-HFW7451Z1P-Z-05150-X,DH-IPC-HFW7451Z1-Z30-X
1.0.01.04.49313-9901,DH-IPC-HFW7451Z1P-Z-05150-X,DH-IPC-HFW7451Z1-Z30-X
1.0.01.04.49319-9901,DH-IPC-HFW7451Z1P-Z-05150-X-ATC,DH-IPC-HFW7451Z1-Z30-X-ATC
1.0.01.04.49316-9901,DH-IPC-HFW7451Z1P-Z-05150-X-BLK,DH-IPC-HFW7451Z1-Z30-X-BLK
1.0.01.04.49311-9901,DH-IPC-HFW7852Z1P-Z-06132-X,DH-IPC-HFW7852Z1-Z22-X
1.0.01.04.49317-9901,DH-IPC-HFW7852Z1P-Z-06132-X-ATC,DH-IPC-HFW7852Z1-Z22-X-ATC
1.0.01.04.49315-9901,DH-IPC-HFW7852Z1P-Z-06132-X-BLK,DH-IPC-HFW7852Z1-Z22-X-BLK
1.0.01.04.49937-9901,DH-IPC-HDBW5459R1P-ASE-PV-0360B-PRO-ATC-LE,DH-IPC-HDBW5459R1-ASE-PV-PRO-ATC-LE
1.0.01.04.49936-9901,DH-IPC-HDBW5459R1P-ASE-PV-0280B-PRO-ATC-LE,DH-IPC-HDBW5459R1-ASE-PV-PRO-ATC-LE
